"","Country","Region","Happiness.Rank","Happiness.Score","Standard.Error","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","year","mean","Lower.Confidence.Interval","Upper.Confidence.Interval","Logged.GDP.per.capita","Healthy.life.expectancy","Ladder.score.in.Dystopia","Explained.by..Log.GDP.per.capita","Explained.by..Social.support","Explained.by..Healthy.life.expectancy","Explained.by..Freedom.to.make.life.choices","Explained.by..Generosity","Explained.by..Perceptions.of.corruption"
"125","Kenya","Sub-Saharan Africa",125,4.419,0.04734,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Djibouti","Sub-Saharan Africa",126,4.369,0.08096,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Armenia","Central and Eastern Europe",127,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Botswana","Sub-Saharan Africa",128,4.332,0.04934,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Myanmar","Southeastern Asia",129,4.307,0.04351,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Georgia","Central and Eastern Europe",130,4.297,0.04221,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Malawi","Sub-Saharan Africa",131,4.292,0.0613,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Sri Lanka","Southern Asia",132,4.271,0.03751,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Cameroon","Sub-Saharan Africa",133,4.252,0.04678,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Bulgaria","Central and Eastern Europe",134,4.218,0.04828,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Egypt","Middle East and Northern Africa",135,4.194,0.0326,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Yemen","Middle East and Northern Africa",136,4.077,0.04367,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Angola","Sub-Saharan Africa",137,4.033,0.04758,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Mali","Sub-Saharan Africa",138,3.995,0.05602,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Congo (Brazzaville)","Sub-Saharan Africa",139,3.989,0.06682,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Comoros","Sub-Saharan Africa",140,3.956,0.04797,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Uganda","Sub-Saharan Africa",141,3.931,0.04317,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Senegal","Sub-Saharan Africa",142,3.904,0.03608,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Gabon","Sub-Saharan Africa",143,3.896,0.04547,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Niger","Sub-Saharan Africa",144,3.845,0.03602,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Cambodia","Southeastern Asia",145,3.819,0.05069,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Tanzania","Sub-Saharan Africa",146,3.781,0.05061,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Madagascar","Sub-Saharan Africa",147,3.681,0.03633,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Central African Republic","Sub-Saharan Africa",148,3.678,0.06112,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Chad","Sub-Saharan Africa",149,3.667,0.0383,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Guinea","Sub-Saharan Africa",150,3.656,0.0359,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Ivory Coast","Sub-Saharan Africa",151,3.655,0.05141,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Burkina Faso","Sub-Saharan Africa",152,3.587,0.04324,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Afghanistan","Southern Asia",153,3.575,0.03084,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Rwanda","Sub-Saharan Africa",154,3.465,0.03464,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Benin","Sub-Saharan Africa",155,3.34,0.03656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Syria","Middle East and Northern Africa",156,3.006,0.05015,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Burundi","Sub-Saharan Africa",157,2.905,0.08658,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Togo","Sub-Saharan Africa",158,2.839,0.06727,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,2015,5.37573417721519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Denmark","Western Europe",1,7.526,NA,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,2016,5.3821847133758,7.46,7.592,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Switzerland","Western Europe",2,7.509,NA,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016,5.3821847133758,7.428,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Iceland","Western Europe",3,7.501,NA,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,2016,5.3821847133758,7.333,7.669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Norway","Western Europe",4,7.498,NA,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,2016,5.3821847133758,7.421,7.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Finland","Western Europe",5,7.413,NA,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,2016,5.3821847133758,7.351,7.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Canada","North America",6,7.404,NA,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,2016,5.3821847133758,7.335,7.473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Netherlands","Western Europe",7,7.339,NA,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,2016,5.3821847133758,7.284,7.394,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","New Zealand","Australia and New Zealand",8,7.334,NA,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,2016,5.3821847133758,7.264,7.404,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Australia","Australia and New Zealand",9,7.313,NA,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,2016,5.3821847133758,7.241,7.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Sweden","Western Europe",10,7.291,NA,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016,5.3821847133758,7.227,7.355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Israel","Middle East and Northern Africa",11,7.267,NA,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,2016,5.3821847133758,7.199,7.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Austria","Western Europe",12,7.119,NA,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,2016,5.3821847133758,7.045,7.193,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","United States","North America",13,7.104,NA,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,2016,5.3821847133758,7.02,7.188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Costa Rica","Latin America and Caribbean",14,7.087,NA,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,2016,5.3821847133758,6.999,7.175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Puerto Rico","Latin America and Caribbean",15,7.039,NA,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,2016,5.3821847133758,6.794,7.284,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Germany","Western Europe",16,6.994,NA,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,2016,5.3821847133758,6.93,7.058,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Brazil","Latin America and Caribbean",17,6.952,NA,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,2016,5.3821847133758,6.875,7.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Belgium","Western Europe",18,6.929,NA,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,2016,5.3821847133758,6.861,6.997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Ireland","Western Europe",19,6.907,NA,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,2016,5.3821847133758,6.836,6.978,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Luxembourg","Western Europe",20,6.871,NA,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,2016,5.3821847133758,6.804,6.938,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Mexico","Latin America and Caribbean",21,6.778,NA,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,2016,5.3821847133758,6.68,6.876,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Singapore","Southeastern Asia",22,6.739,NA,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,2016,5.3821847133758,6.674,6.804,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","United Kingdom","Western Europe",23,6.725,NA,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,2016,5.3821847133758,6.647,6.803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Chile","Latin America and Caribbean",24,6.705,NA,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,2016,5.3821847133758,6.615,6.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Panama","Latin America and Caribbean",25,6.701,NA,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,2016,5.3821847133758,6.601,6.801,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Argentina","Latin America and Caribbean",26,6.65,NA,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,2016,5.3821847133758,6.56,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Czech Republic","Central and Eastern Europe",27,6.596,NA,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,2016,5.3821847133758,6.515,6.677,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","United Arab Emirates","Middle East and Northern Africa",28,6.573,NA,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,2016,5.3821847133758,6.494,6.652,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Uruguay","Latin America and Caribbean",29,6.545,NA,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,2016,5.3821847133758,6.456,6.634,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Malta","Western Europe",30,6.488,NA,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,2016,5.3821847133758,6.409,6.567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Colombia","Latin America and Caribbean",31,6.481,NA,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,2016,5.3821847133758,6.384,6.578,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","France","Western Europe",32,6.478,NA,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,2016,5.3821847133758,6.397,6.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Thailand","Southeastern Asia",33,6.474,NA,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,2016,5.3821847133758,6.396,6.552,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Saudi Arabia","Middle East and Northern Africa",34,6.379,NA,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,2016,5.3821847133758,6.287,6.471,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Taiwan","Eastern Asia",34,6.379,NA,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,2016,5.3821847133758,6.305,6.453,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Qatar","Middle East and Northern Africa",36,6.375,NA,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,2016,5.3821847133758,6.178,6.572,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Spain","Western Europe",37,6.361,NA,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,2016,5.3821847133758,6.288,6.434,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Algeria","Middle East and Northern Africa",38,6.355,NA,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,2016,5.3821847133758,6.227,6.483,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Guatemala","Latin America and Caribbean",39,6.324,NA,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,2016,5.3821847133758,6.213,6.435,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Suriname","Latin America and Caribbean",40,6.269,NA,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,2016,5.3821847133758,6.073,6.465,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Kuwait","Middle East and Northern Africa",41,6.239,NA,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,2016,5.3821847133758,6.154,6.324,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Bahrain","Middle East and Northern Africa",42,6.218,NA,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,2016,5.3821847133758,6.128,6.308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Trinidad and Tobago","Latin America and Caribbean",43,6.168,NA,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,2016,5.3821847133758,5.95,6.386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Venezuela","Latin America and Caribbean",44,6.084,NA,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,2016,5.3821847133758,5.973,6.195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Slovakia","Central and Eastern Europe",45,6.078,NA,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,2016,5.3821847133758,5.996,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","El Salvador","Latin America and Caribbean",46,6.068,NA,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,2016,5.3821847133758,5.967,6.169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Malaysia","Southeastern Asia",47,6.005,NA,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384,2016,5.3821847133758,5.921,6.089,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Nicaragua","Latin America and Caribbean",48,5.992,NA,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,2016,5.3821847133758,5.877,6.107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Uzbekistan","Central and Eastern Europe",49,5.987,NA,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,2016,5.3821847133758,5.896,6.078,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Italy","Western Europe",50,5.977,NA,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,2016,5.3821847133758,5.898,6.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Ecuador","Latin America and Caribbean",51,5.976,NA,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,2016,5.3821847133758,5.88,6.072,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Belize","Latin America and Caribbean",52,5.956,NA,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,2016,5.3821847133758,5.71,6.202,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Japan","Eastern Asia",53,5.921,NA,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,2016,5.3821847133758,5.85,5.992,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Kazakhstan","Central and Eastern Europe",54,5.919,NA,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,2016,5.3821847133758,5.837,6.001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Moldova","Central and Eastern Europe",55,5.897,NA,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007,2016,5.3821847133758,5.823,5.971,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Russia","Central and Eastern Europe",56,5.856,NA,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,2016,5.3821847133758,5.789,5.923,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Poland","Central and Eastern Europe",57,5.835,NA,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,2016,5.3821847133758,5.749,5.921,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","South Korea","Eastern Asia",57,5.835,NA,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,2016,5.3821847133758,5.747,5.923,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Bolivia","Latin America and Caribbean",59,5.822,NA,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,2016,5.3821847133758,5.74,5.904,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Lithuania","Central and Eastern Europe",60,5.813,NA,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,2016,5.3821847133758,5.734,5.892,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Belarus","Central and Eastern Europe",61,5.802,NA,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,2016,5.3821847133758,5.723,5.881,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","North Cyprus","Western Europe",62,5.771,NA,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447,2016,5.3821847133758,5.67,5.872,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Slovenia","Central and Eastern Europe",63,5.768,NA,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,2016,5.3821847133758,5.683,5.853,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Peru","Latin America and Caribbean",64,5.743,NA,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,2016,5.3821847133758,5.647,5.839,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Turkmenistan","Central and Eastern Europe",65,5.658,NA,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489,2016,5.3821847133758,5.58,5.736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Mauritius","Sub-Saharan Africa",66,5.648,NA,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223,2016,5.3821847133758,5.507,5.789,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Libya","Middle East and Northern Africa",67,5.615,NA,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,2016,5.3821847133758,5.406,5.824,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Latvia","Central and Eastern Europe",68,5.56,NA,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,2016,5.3821847133758,5.486,5.634,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Cyprus","Western Europe",69,5.546,NA,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,2016,5.3821847133758,5.442,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Paraguay","Latin America and Caribbean",70,5.538,NA,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,2016,5.3821847133758,5.453,5.623,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Romania","Central and Eastern Europe",71,5.528,NA,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,2016,5.3821847133758,5.427,5.629,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Estonia","Central and Eastern Europe",72,5.517,NA,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,2016,5.3821847133758,5.437,5.597,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Jamaica","Latin America and Caribbean",73,5.51,NA,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,2016,5.3821847133758,5.315,5.705,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Croatia","Central and Eastern Europe",74,5.488,NA,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,2016,5.3821847133758,5.402,5.574,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Hong Kong","Eastern Asia",75,5.458,NA,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,2016,5.3821847133758,5.362,5.554,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Somalia","Sub-Saharan Africa",76,5.44,NA,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,2016,5.3821847133758,5.321,5.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Kosovo","Central and Eastern Europe",77,5.401,NA,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,2016,5.3821847133758,5.308,5.494,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Turkey","Middle East and Northern Africa",78,5.389,NA,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,2016,5.3821847133758,5.295,5.483,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Indonesia","Southeastern Asia",79,5.314,NA,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,2016,5.3821847133758,5.237,5.391,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Jordan","Middle East and Northern Africa",80,5.303,NA,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2016,5.3821847133758,5.187,5.419,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Azerbaijan","Central and Eastern Europe",81,5.291,NA,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,2016,5.3821847133758,5.226,5.356,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Philippines","Southeastern Asia",82,5.279,NA,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,2016,5.3821847133758,5.16,5.398,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","China","Eastern Asia",83,5.245,NA,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,2016,5.3821847133758,5.199,5.291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Bhutan","Southern Asia",84,5.196,NA,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,2016,5.3821847133758,5.138,5.254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Kyrgyzstan","Central and Eastern Europe",85,5.185,NA,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,2016,5.3821847133758,5.103,5.267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Serbia","Central and Eastern Europe",86,5.177,NA,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,2016,5.3821847133758,5.083,5.271,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Bosnia and Herzegovina","Central and Eastern Europe",87,5.163,NA,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,2016,5.3821847133758,5.063,5.263,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Montenegro","Central and Eastern Europe",88,5.161,NA,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,2016,5.3821847133758,5.055,5.267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Dominican Republic","Latin America and Caribbean",89,5.155,NA,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,2016,5.3821847133758,5.037,5.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Morocco","Middle East and Northern Africa",90,5.151,NA,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,2016,5.3821847133758,5.058,5.244,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Hungary","Central and Eastern Europe",91,5.145,NA,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,2016,5.3821847133758,5.056,5.234,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Pakistan","Southern Asia",92,5.132,NA,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,2016,5.3821847133758,5.038,5.226,NA,NA,NA,NA,NA,NA,NA,NA,NA
