"","Region","Subregion","Country","Rate","Count","Year"
"905","Africa","Western Africa","Cabo Verde",NA,NA,"2017"
"906","Africa","Western Africa","Guinea-Bissau",NA,NA,"2017"
"907","Africa","Western Africa","Nigeria",NA,NA,"2017"
"908","Africa","Western Africa","Senegal",NA,NA,"2017"
"909","Americas","Caribbean","Bahamas","164.92099999999999","630","2017"
"910","Americas","Caribbean","Barbados","83.566000000000003","239","2017"
"911","Americas","Caribbean","Dominica","101.408","72","2017"
"912","Americas","Caribbean","Dominican Republic",NA,NA,"2017"
"913","Americas","Caribbean","Grenada","51.350999999999999","57","2017"
"914","Americas","Caribbean","Jamaica","43.375999999999998","1267","2017"
"915","Americas","Caribbean","Puerto Rico","90.960999999999999","2878","2017"
"916","Americas","Caribbean","St. Kitts and Nevis",NA,NA,"2017"
"917","Americas","Caribbean","St. Vincent and the Grenadines",NA,NA,"2017"
"918","Americas","Caribbean","Trinidad and Tobago",NA,NA,"2017"
"919","Americas","Central America","Belize",NA,NA,"2017"
"920","Americas","Central America","Costa Rica","1587.4949999999999","78581","2017"
"921","Americas","Central America","El Salvador","59.44","3797","2017"
"922","Americas","Central America","Guatemala",NA,NA,"2017"
"923","Americas","Central America","Honduras","120.82899999999999","11393","2017"
"924","Americas","Central America","Mexico","179.21299999999999","223617","2017"
"925","Americas","Central America","Nicaragua",NA,NA,"2017"
"926","Americas","Central America","Panama","242.80500000000001","9972","2017"
"927","Americas","Northern America","Bermuda","79.364999999999995","50","2017"
"928","Americas","Northern America","Canada","61.905000000000001","22739","2017"
"929","Americas","Northern America","United States of America","98.251000000000005","319400","2017"
"930","Americas","South America","Argentina","922.596","405361","2017"
"931","Americas","South America","Bolivia (Plurinational State of)",NA,NA,"2017"
"932","Americas","South America","Brazil","797.33399999999995","1657131","2017"
"933","Americas","South America","Chile","633.48099999999999","117004","2017"
"934","Americas","South America","Colombia","244.39","119531","2017"
"935","Americas","South America","Ecuador","457.23599999999999","76747","2017"
"936","Americas","South America","Guyana","161.29","1250","2017"
"937","Americas","South America","Paraguay","28.818999999999999","1979","2017"
"938","Americas","South America","Peru","222.869","70079","2017"
"939","Americas","South America","Uruguay","522.46100000000001","17957","2017"
"940","Asia","Central Asia","Kazakhstan","52.372999999999998","9469","2017"
"941","Asia","Central Asia","Kyrgyzstan",NA,NA,"2017"
"942","Asia","Central Asia","Tajikistan",NA,NA,"2017"
"943","Asia","Central Asia","Uzbekistan","2.6","831","2017"
"944","Asia","Eastern Asia","Hong Kong Special Administrative Region of China",NA,NA,"2017"
"945","Asia","Eastern Asia","Japan",NA,NA,"2017"
"946","Asia","Eastern Asia","Macao Special Administrative Region of China","17.335000000000001","108","2017"
"947","Asia","Eastern Asia","Mongolia","39.594999999999999","1233","2017"
"948","Asia","Eastern Asia","Republic of Korea","1.893","967","2017"
"949","Asia","South-Eastern Asia","Indonesia","4.04","10692","2017"
"950","Asia","South-Eastern Asia","Myanmar",NA,NA,"2017"
"951","Asia","South-Eastern Asia","Philippines","15.282","16073","2017"
"952","Asia","South-Eastern Asia","Singapore","1.2090000000000001","69","2017"
"953","Asia","South-Eastern Asia","Thailand",NA,NA,"2017"
"954","Asia","South-Eastern Asia","Timor-Leste","1.85","23","2017"
"955","Asia","Southern Asia","Bhutan","2.2789999999999999","17","2017"
"956","Asia","Southern Asia","India",NA,NA,"2017"
"957","Asia","Southern Asia","Maldives",NA,NA,"2017"
"958","Asia","Southern Asia","Nepal",NA,NA,"2017"
"959","Asia","Southern Asia","Pakistan","5.992","12458","2017"
"960","Asia","Southern Asia","Sri Lanka",NA,NA,"2017"
"961","Asia","Western Asia","Armenia","7.7759999999999998","229","2017"
"962","Asia","Western Asia","Azerbaijan","4.0330000000000004","397","2017"
"963","Asia","Western Asia","Cyprus","9.9149999999999991","117","2017"
"964","Asia","Western Asia","Georgia",NA,NA,"2017"
"965","Asia","Western Asia","Israel",NA,NA,"2017"
"966","Asia","Western Asia","Jordan","6.06","593","2017"
"967","Asia","Western Asia","Lebanon",NA,NA,"2017"
"968","Asia","Western Asia","Oman","0.70699999999999996","33","2017"
"969","Asia","Western Asia","Saudi Arabia","9.2899999999999991","3075","2017"
"970","Asia","Western Asia","State of Palestine",NA,NA,"2017"
"971","Asia","Western Asia","Turkey",NA,NA,"2017"
"972","Asia","Western Asia","United Arab Emirates","16.486000000000001","1564","2017"
"973","Europe","Eastern Europe","Belarus",NA,NA,"2017"
"974","Europe","Eastern Europe","Bulgaria","21.937000000000001","1558","2017"
"975","Europe","Eastern Europe","Czech Republic","14.895","1585","2017"
"976","Europe","Eastern Europe","Hungary","8.6430000000000007","841","2017"
"977","Europe","Eastern Europe","Poland","21.379000000000001","8114","2017"
"978","Europe","Eastern Europe","Republic of Moldova",NA,NA,"2017"
"979","Europe","Eastern Europe","Romania","16.093","3163","2017"
"980","Europe","Eastern Europe","Russian Federation","6.2560000000000002","9104","2017"
"981","Europe","Eastern Europe","Slovakia","8.609","469","2017"
"982","Europe","Eastern Europe","Ukraine","47.509","21136","2017"
"983","Europe","Northern Europe","Denmark","35.625","2042","2017"
"984","Europe","Northern Europe","Estonia","15.239000000000001","201","2017"
"985","Europe","Northern Europe","Finland","29.759","1640","2017"
"986","Europe","Northern Europe","Iceland","14.670999999999999","49","2017"
"987","Europe","Northern Europe","Ireland","46.012999999999998","2187","2017"
"988","Europe","Northern Europe","Latvia","30.957999999999998","604","2017"
"989","Europe","Northern Europe","Lithuania","38.243000000000002","1088","2017"
"990","Europe","Northern Europe","Norway","14.747","781","2017"
"991","Europe","Northern Europe","Sweden","87.32","8649","2017"
"992","Europe","Southern Europe","Albania","6.38","184","2017"
"993","Europe","Southern Europe","Andorra",NA,NA,"2017"
"994","Europe","Southern Europe","Bosnia and Herzegovina","19.690000000000001","660","2017"
"995","Europe","Southern Europe","Croatia","20.655000000000001","864","2017"
"996","Europe","Southern Europe","Greece","40.411000000000001","4271","2017"
"997","Europe","Southern Europe","Holy See",NA,NA,"2017"
"998","Europe","Southern Europe","Italy","51.368000000000002","31167","2017"
"999","Europe","Southern Europe","Malta",NA,NA,"2017"
"1000","Europe","Southern Europe","Montenegro","18.79","118","2017"
"1001","Europe","Southern Europe","North Macedonia","20.029","417","2017"
"1002","Europe","Southern Europe","Portugal","115.512","11885","2017"
"1003","Europe","Southern Europe","Serbia","20.713000000000001","1829","2017"
"1004","Europe","Southern Europe","Slovenia","11.464","238","2017"
"1005","Europe","Southern Europe","Spain","143.167","66783","2017"
"1006","Europe","Western Europe","Austria",NA,NA,"2017"
"1007","Europe","Western Europe","Belgium","165.97200000000001","18954","2017"
"1008","Europe","Western Europe","France","154.34200000000001","100080","2017"
"1009","Europe","Western Europe","Germany","47","38849","2017"
"1010","Europe","Western Europe","Liechtenstein",NA,NA,"2017"
"1011","Europe","Western Europe","Luxembourg","76.688999999999993","454","2017"
"1012","Europe","Western Europe","Monaco",NA,NA,"2017"
"1013","Europe","Western Europe","Netherlands","47.218000000000004","8037","2017"
"1014","Europe","Western Europe","Switzerland","20.648","1746","2017"
"1015","Oceania","Australia and New Zealand","Australia","39.043999999999997","9599","2017"
"1016","Oceania","Australia and New Zealand","New Zealand","79.582999999999998","3742","2017"
